rest_type,cuisines
Quick Bites,"Biryani, Fast Food"
Beverage Shop,"Beverages, Juices"
"Beverage Shop, Quick Bites","Beverages, Fast Food, Juices"
"Takeaway, Delivery",South Indian
Quick Bites,"South Indian, Chinese"
Quick Bites,Andhra
Quick Bites,Biryani
Quick Bites,"South Indian, Biryani"
Confectionery,Desserts
"Quick Bites, Beverage Shop","Healthy Food, Juices, Sandwich"
Quick Bites,"South Indian, Biryani"
"Takeaway, Delivery","Pizza, Fast Food"
Quick Bites,"South Indian, Beverages"
Casual Dining,"South Indian, North Indian, Chinese"
Bar,"North Indian, Chinese"
Quick Bites,South Indian
Casual Dining,"South Indian, North Indian, Chinese, Beverages"
Quick Bites,"South Indian, Chinese, North Indian, Juices"
Casual Dining,"North Indian, Kebab, Biryani, Chinese"
Quick Bites,"Chinese, North Indian, Mughlai, Rolls"
"Takeaway, Delivery","North Indian, Mughlai, Fast Food"
Quick Bites,"Burger, Fast Food"
Quick Bites,Fast Food
Dessert Parlor,"Desserts, Ice Cream, Beverages, Fast Food, Sandwich"
Casual Dining,"North Indian, Chinese, Biryani, Beverages"
Beverage Shop,"Beverages, Juices, Ice Cream"
Quick Bites,"North Indian, Chinese"
Quick Bites,"North Indian, Mughlai, Chinese"
"Takeaway, Delivery",Biryani
Quick Bites,Biryani
Casual Dining,"Chinese, Seafood, Biryani"
"Dessert Parlor, Sweet Shop","Desserts, Mithai"
Cafe,"Cafe, Beverages"
Quick Bites,"South Indian, Chinese"
Casual Dining,"Thai, Vietnamese, Asian, Chinese"
Beverage Shop,"Beverages, Ice Cream"
Quick Bites,"South Indian, North Indian, Chinese, Juices"
Sweet Shop,"Mithai, Street Food"
"Takeaway, Delivery","Italian, Pizza"
Quick Bites,Biryani
Quick Bites,"North Indian, Fast Food, Rolls"
Bakery,Bakery
Quick Bites,"Salad, Healthy Food, Sandwich, Juices, Burger, Desserts, Pizza"
Quick Bites,South Indian
Quick Bites,"North Indian, Chinese, Biryani, Kebab"
Quick Bites,Street Food
Quick Bites,"Fast Food, Pizza"
Casual Dining,"Biryani, Andhra, Hyderabadi, North Indian"
Cafe,"Cafe, Burger, Continental, Italian, Desserts"
Beverage Shop,"Beverages, Sandwich"
Casual Dining,Italian
Quick Bites,"Fast Food, Italian, Beverages"
Quick Bites,"Bengali, Chinese, Sandwich"
Dessert Parlor,Ice Cream
Quick Bites,"South Indian, North Indian, Chinese, Biryani"
Quick Bites,South Indian
Quick Bites,"North Indian, Street Food, Juices"
Quick Bites,South Indian
Quick Bites,Arabian
Quick Bites,North Indian
Quick Bites,South Indian
Cafe,Cafe
Casual Dining,"North Indian, Chinese, Beverages"
Casual Dining,"BBQ, Arabian, Rolls, Chinese, North Indian, Juices, Kebab, Desserts"
Quick Bites,"South Indian, North Indian, Chinese, Street Food"
Quick Bites,South Indian
Quick Bites,South Indian
Cafe,"Cafe, French, North Indian"
Casual Dining,"Pizza, Fast Food"
Casual Dining,"Mangalorean, Seafood, Chinese, Biryani"
Dessert Parlor,Fast Food
Quick Bites,"Continental, Fast Food, Street Food, Momos"
Quick Bites,"Street Food, Fast Food"
Quick Bites,"Pizza, Sandwich, Burger, Fast Food"
Casual Dining,North Indian
 only served buffet style," the server says it is on the other table madam please take it ? )\nFood: 2.5/5\nAmbiance: 3/5\nService: 2/5\nPrice: 2/5"""")"
Casual Dining,"North Indian, Chinese, BBQ"
Quick Bites,"Chinese, Fast Food"
Casual Dining,"North Indian, Chinese, Continental"
Casual Dining,"North Indian, Chinese"
Casual Dining,Vietnamese
Cafe,"Cafe, Mexican, Italian, Momos, Beverages"
Quick Bites,"Fast Food, Street Food"
Quick Bites,North Indian
Casual Dining,"North Indian, Chinese, Biryani, Kebab"
Quick Bites,"North Indian, Chinese"
Casual Dining,"Italian, Salad"
Quick Bites,"North Indian, Chinese"
Dessert Parlor,"Desserts, Ice Cream"
Casual Dining,"Andhra, Seafood, North Indian, Chinese"
Casual Dining,"Mangalorean, Seafood, South Indian"
Quick Bites,Andhra
Casual Dining,"South Indian, Biryani, Chinese, North Indian"
Casual Dining,"South Indian, Arabian, Chinese, North Indian, Seafood, Mangalorean"
Casual Dining,South Indian
Beverage Shop,"Beverages, Tea"
Quick Bites,"North Indian, Street Food"
Quick Bites,"Pizza, Italian"
Quick Bites,"Cafe, Burger, Beverages"
"Casual Dining, Cafe","North Indian, Cafe, Chinese, Fast Food"
Quick Bites,"South Indian, Mangalorean"
Bakery,"Bakery, Desserts"
Dessert Parlor,Ice Cream
Quick Bites,South Indian
Casual Dining,"North Indian, Chinese, South Indian, Fast Food, Juices"
Quick Bites,"Andhra, South Indian, Biryani, North Indian"
Quick Bites,"Fast Food, Street Food"
Dessert Parlor,Desserts
Casual Dining,"North Indian, South Indian, Andhra, Chinese"
Quick Bites,South Indian
"Bakery, Quick Bites",Bakery
Quick Bites,South Indian
Quick Bites,"North Indian, Chinese"
Quick Bites,"North Indian, South Indian, Chinese, Beverages, Fast Food"
Quick Bites,Street Food
Quick Bites,"North Indian, Chinese, Biryani"
Quick Bites,"South Indian, North Indian"
Casual Dining,"North Indian, Chinese, Biryani, Andhra, Mangalorean"
 'RATED\n  The restaurant will give a treat to non-vegetarian tongues. Being Andhra styled, ('Rated 3.0'
Sweet Shop,"Mithai, Desserts"
Beverage Shop,"Juices, Beverages"
Quick Bites,"Salad, Fast Food"
Quick Bites,"North Indian, Chinese"
Quick Bites,"Juices, Desserts"
Cafe,"Cafe, Fast Food"
Casual Dining,"South Indian, North Indian, Chinese, Street Food"
Quick Bites,"South Indian, North Indian, Chinese"
Casual Dining,North Indian
Casual Dining,"North Indian, Chinese"
Casual Dining,"North Indian, Chinese"
Casual Dining,"Seafood, Biryani, South Indian, North Indian, Chinese"
Quick Bites,"South Indian, Mangalorean"
Quick Bites,"South Indian, Beverages"
Quick Bites,"Fast Food, Rolls"
Casual Dining,"North Indian, Chinese, South Indian, Fast Food"
Quick Bites,Fast Food
Quick Bites,"North Indian, Chinese, Rolls"
Quick Bites,"Beverages, Fast Food"
"Quick Bites, Cafe","Italian, Fast Food, Cafe, European"
Dessert Parlor,Desserts
Sweet Shop,"Desserts, Mithai"
Casual Dining,"North Indian, Chinese, South Indian"
Quick Bites,Fast Food
Bakery,"Bakery, Desserts"
Quick Bites,"South Indian, Fast Food"
Casual Dining,"Biryani, North Indian, Seafood, Andhra"
Quick Bites,"South Indian, Chinese"
Casual Dining,"South Indian, Chinese, Street Food, Juices"
Casual Dining,"North Indian, Afghani, Mughlai"
Cafe,Cafe
Quick Bites,"Italian, Chinese, Street Food"
Casual Dining,"South Indian, North Indian"
Delivery,Pizza
Dessert Parlor,"Desserts, Ice Cream"
Quick Bites,South Indian
Casual Dining,"Chinese, Thai, Momos"
Casual Dining,"South Indian, North Indian, Chinese"
Quick Bites,"South Indian, Healthy Food"
Quick Bites,"Street Food, Fast Food"
Dessert Parlor,Beverages
Casual Dining,South Indian
Cafe,"Cafe, American, Pizza"
Quick Bites,"South Indian, Fast Food"
Cafe,"Cafe, Pizza, Fast Food, Beverages"
Quick Bites,South Indian
Quick Bites,"Street Food, North Indian, South Indian"
Casual Dining,"North Indian, South Indian, Biryani, Beverages"
Quick Bites,"South Indian, North Indian, Chinese, Street Food"
Casual Dining,"North Indian, Chinese, Rolls"
Casual Dining,"Chinese, North Indian, Thai"
Quick Bites,South Indian
Quick Bites,"South Indian, North Indian, Chinese"
Quick Bites,"South Indian, Street Food"
Casual Dining,"Seafood, Biryani, Beverages, South Indian, North Indian, Kebab"
Quick Bites,"North Indian, Fast Food"
Cafe,"Cafe, Continental, Beverages, Desserts"
Casual Dining,Biryani
Cafe,"Cafe, Italian, Continental"
Quick Bites,"North Indian, Chinese, Rolls, Biryani, Kebab"
 ('Rated 1.0', ('Rated 1.0'
Casual Dining,"South Indian, North Indian, Chinese, Beverages"
Cafe,"Cafe, Fast Food, Continental, Chinese, Momos"
Casual Dining,"Pizza, Italian, Salad"
Quick Bites,"Fast Food, Chinese, Rolls"
Quick Bites,"Fast Food, Chinese"
Delivery,"Mexican, Italian"
Casual Dining,"North Indian, Chinese"
Casual Dining,"North Indian, Chinese"
Dessert Parlor,"Ice Cream, Desserts, Beverages"
Quick Bites,"South Indian, North Indian, Chinese, Street Food"
Quick Bites,Fast Food
Quick Bites,"Juices, Fast Food"
Quick Bites,"South Indian, Chinese, Street Food"
Dessert Parlor,"Fast Food, Desserts, Ice Cream"
Cafe,"Cafe, Fast Food, Chinese"
Quick Bites,Biryani
Quick Bites,"North Indian, Chinese"
Quick Bites,Fast Food
Casual Dining,"North Indian, Chinese"
Dessert Parlor,"Desserts, Momos"
Quick Bites,Fast Food
Cafe,"Cafe, Continental, Fast Food"
Sweet Shop,"Mithai, Street Food"
Quick Bites,South Indian
Casual Dining,"North Indian, Chinese, Fast Food"
Cafe,"Cafe, Italian, Pizza"
Beverage Shop,"Beverages, Tea"
Cafe,"Chinese, Cafe, Italian"
Bar,"North Indian, Seafood, Chinese"
Casual Dining,"Chinese, Thai, Continental, North Indian"
Quick Bites,"South Indian, Fast Food"
Quick Bites,"South Indian, North Indian, Chinese"
"Sweet Shop, Quick Bites","Mithai, South Indian, Street Food, Fast Food"
Quick Bites,"South Indian, North Indian, Chinese"
Quick Bites,"South Indian, North Indian, Desserts"
Quick Bites,"South Indian, Burger"
"Cafe, Quick Bites","Cafe, South Indian"
Cafe,"Cafe, Beverages"
Kiosk,"Beverages, Desserts"
Casual Dining,"North Indian, Chinese"
Quick Bites,"Biryani, Fast Food"
Cafe,"Cafe, Fast Food"
Casual Dining,"Mangalorean, Seafood, North Indian"
 ('Rated 1.0', ('Rated 1.0'
Quick Bites,"Biryani, Chinese, North Indian"
Quick Bites,"Chinese, North Indian"
Quick Bites,South Indian
Food Truck,"Pizza, Fast Food, BBQ"
Quick Bites,"Seafood, Mangalorean"
Casual Dining,"Andhra, North Indian, Chinese"
Beverage Shop,"Beverages, Ice Cream, Fast Food"
"Quick Bites, Dessert Parlor","Fast Food, Desserts, Beverages"
Casual Dining,"Chinese, North Indian, Pizza, Italian"
"Beverage Shop, Quick Bites","Beverages, Fast Food"
Quick Bites,Fast Food
Casual Dining,North Indian
Quick Bites,"South Indian, Biryani"
Quick Bites,"Biryani, Fast Food"
"Beverage Shop, Dessert Parlor","Desserts, Beverages, Ice Cream"
Quick Bites,South Indian
Quick Bites,Fast Food
Takeaway,"Rolls, Lebanese"
Cafe,"Cafe, Fast Food, Chinese"
Beverage Shop,Beverages
Quick Bites,"South Indian, North Indian, Chinese"
Quick Bites,North Indian
Quick Bites,South Indian
"Pub, Casual Dining","Continental, Finger Food, Seafood, Pizza"
Quick Bites,"Biryani, Fast Food"
"Beverage Shop, Quick Bites","Beverages, Fast Food, Juices"
Quick Bites,South Indian
Quick Bites,South Indian
Quick Bites,South Indian
Quick Bites,"North Indian, Chinese"
Quick Bites,"Chinese, Street Food, Ice Cream"
Quick Bites,"Sandwich, Fast Food, Rolls"
Quick Bites,"South Indian, North Indian, Chinese, Fast Food"
Quick Bites,Rolls
Quick Bites,"Fast Food, Street Food"
Quick Bites,"North Indian, Chinese"
Quick Bites,South Indian
Quick Bites,"Fast Food, Rolls"
Quick Bites,"Ice Cream, Beverages, Fast Food"
Casual Dining,North Indian
Sweet Shop,Mithai
Quick Bites,"South Indian, North Indian"
Quick Bites,"Desserts, Fast Food, Continental"
Quick Bites,"South Indian, Chinese"
 Green Apple ice tea," tomato paneer nachos and specifically loved d Dragon chopsuey"""")"
Casual Dining,Chinese
"Casual Dining, Bar","Italian, Fast Food, Salad, BBQ"
Quick Bites,Street Food
Casual Dining,"Italian, Pizza, North Indian, Salad"
Casual Dining,"Fast Food, Continental, Beverages, Salad, Healthy Food"
Quick Bites,"North Indian, South Indian, Fast Food, Juices"
Casual Dining,"North Indian, Chinese, South Indian"
Cafe,"Cafe, Italian, Beverages"
Casual Dining,"North Indian, Continental"
Quick Bites,North Indian
" """"RATED\n  Kataria's pakwan is a good place for regular lunch ...... Especially office lunch.\nThey serve food hot irrespective of the time. Basic ambience but hygienic kitchen.\nThey serve a good spread of parathas n varieties of combo meal ..... Mix n match"""")", 'RATED\n  Hard to come by value for money AND tasty food these days. For the price the ambience is good enough. Highly recommended. [If you are the the down to earth type
Quick Bites,"Tibetan, Momos"
Bakery,"Bakery, French, Desserts"
Sweet Shop,"Mithai, Street Food"
Quick Bites,"South Indian, North Indian, Chinese, Biryani"
Casual Dining,"North Indian, Chinese, Beverages"
Quick Bites,Juices
Casual Dining,"North Indian, Chinese, Biryani, South Indian"
Quick Bites,"South Indian, North Indian, Chinese"
Quick Bites,Street Food
"Dessert Parlor, Beverage Shop",Beverages
Quick Bites,"Juices, South Indian, Chinese, Fast Food"
Quick Bites,"North Indian, South Indian, Chinese, Biryani, Seafood"
 ('Rated 3.5', ('Rated 2.5'
"Beverage Shop, Quick Bites","Tea, Beverages, Fast Food"
" """"RATED\n  It's good place to have chai but place is to small for ppl to eat .talk about the services it's good .place is clean and well maintained food served is worth for the price u pay"""")", 'RATED\n  Chai Point is pretty reasonable in terms of price and their several varieties of Chai are MUST TRY stuffs...\n\nBut food is not at all up to the mark in terms of taste and quality
Quick Bites,South Indian
Cafe,"Cafe, Italian"
Quick Bites,"North Indian, Street Food"
Quick Bites,"Fast Food, Burger"
Quick Bites,"Fast Food, Momos"
Casual Dining,"Biryani, North Indian, Chinese, Seafood"
Quick Bites,South Indian
"Takeaway, Delivery",North Indian
Quick Bites,"Healthy Food, South Indian"
Dessert Parlor,"Desserts, Ice Cream"
Dessert Parlor,"Ice Cream, Desserts"
"Quick Bites, Bakery","South Indian, Bakery, Chinese"
Quick Bites,"North Indian, Chinese, South Indian"
Quick Bites,"North Indian, Mughlai, Chinese"
Quick Bites,North Indian
Quick Bites,"Momos, Tibetan, Chinese"
Delivery,North Indian
Quick Bites,Mughlai
"Takeaway, Delivery","Healthy Food, North Indian, Thai"
Quick Bites,
"Takeaway, Delivery",
Beverage Shop,
Quick Bites,
Bakery,
Casual Dining,
Quick Bites,
"Takeaway, Delivery",
"Casual Dining, Bar",
Quick Bites,
Casual Dining,
"Dessert Parlor, Quick Bites",
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Casual Dining,
Casual Dining,
Quick Bites,
Quick Bites,
Cafe,
Casual Dining,
Quick Bites,
Quick Bites,
Casual Dining,
Casual Dining,
Quick Bites,
Casual Dining,
Quick Bites,
Casual Dining,
Quick Bites,
"Casual Dining, Bar",
Quick Bites,
Cafe,
"Cafe, Casual Dining",
Casual Dining,
"Microbrewery, Casual Dining",
 pizza to eat.\nWeÃ\x83Ã\x83Ã\x82Ã\x82Ã\x83Ã\x82Ã\x82Ã\x92 had ordered a few mock tails as well: orange blossom,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
 not at all dry. I like their sherwa,
Cafe,
 'RATED\n  I went here on a rainy day with a friend of mine and it was a good experience overall! :) The ambience is nice and so is the service. The food was really good as well! We had a salad,
Quick Bites,
Casual Dining,
Quick Bites,
Quick Bites,
Casual Dining,
Cafe,
Casual Dining,
Cafe,
Quick Bites,
Delivery,
Casual Dining,
Dessert Parlor,
Sweet Shop,
Dessert Parlor,
Dessert Parlor,
"Bakery, Dessert Parlor",
Dessert Parlor,
Sweet Shop,
Bakery,
Dessert Parlor,
"Cafe, Casual Dining",
"Sweet Shop, Quick Bites",
Dessert Parlor,
Cafe,
"Beverage Shop, Dessert Parlor",
Dessert Parlor,
Sweet Shop,
Bakery,
Sweet Shop,
"Beverage Shop, Dessert Parlor",
Dessert Parlor,
Dessert Parlor,
"Beverage Shop, Quick Bites",
Quick Bites,
Bakery,
"Takeaway, Delivery",
Cafe,
Bakery,
Dessert Parlor,
Bakery,
